N,r2_mean,r2_std,mape_mean,mape_std
1,0.06729315391943015,1.1446353478644578,,
2,-14.446816652854986,28.143115822044503,118.75402598872938,123.82977443144568
3,-0.3480142772839339,2.4139660061828874,101.80839100172325,87.12800356478014
4,0.1958127006782222,1.7158832153747499,63.212669274727986,55.44777583559821
5,0.4119856349932923,1.2309665767137947,68.3804699873985,56.451167528992414
6,0.7529232769357832,0.44288758577415893,39.83710492864235,30.026447468883514
7,0.4417207328259374,0.57616251437016,72.18720853140323,56.087562779092266
8,-0.2785587959549953,3.4093377651549135,58.07163431899198,48.0163888775065
9,0.5543536962627841,0.6024206780313068,53.90054566890651,42.306593408054404
10,0.8037953735570864,0.16510732469512396,46.47174176364185,25.393154821532082
11,0.8652505717961816,0.17274083973468424,41.123710574032415,32.20414217165086
12,0.8478478396912215,0.13163138247945297,35.17409127606206,28.150495199757636
13,0.8258393023571152,0.11385489748425542,37.82793841424414,15.638459304644666
14,0.5865630416843276,0.4575391199777212,46.18271896117686,31.520742432127893
15,0.8559718211949845,0.13444229174461433,31.198497694508166,17.985704940086176
16,0.9031602624405831,0.0691170923765257,25.70501188206641,18.78789641975591
17,0.8495068716428318,0.08274461335122217,31.366426795981045,12.981819078055905
18,0.8165430763976564,0.11299173295501787,40.83834205536026,15.625816447964887
19,0.8999322601357935,0.04950612511648614,28.13910173475465,14.728825275324523
20,0.8656523047273741,0.03675721485581257,33.711010993434186,8.603401195955563
21,0.8937504031995068,0.04730917224411195,30.57551127541158,11.723986735157165
22,0.8738456169129807,0.027725286996663153,29.327843020039825,5.153839087411436
23,0.9269917152640911,0.025972941434950474,20.547108718530573,8.917375763069106
24,0.9335698178442658,0.027041710054966583,17.921037981901083,6.528110538148923
25,0.9135105820573308,0.01707818911368677,22.8664198283949,3.4132626601428635
26,0.9239447017500424,0.008033117641303933,21.60247640844626,2.200758737467098
27,0.930664946205044,0.004189639730199007,19.86696537404918,1.0204465580856568
28,0.9354738972414184,1.1102230246251565e-16,18.855289677041497,2.9724135207732003e-15
