transformer_id,kva_rating,allocated_kw,allocated_kva,utilization_factor
T1_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T2_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T3_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T4_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T5_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T6_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T7_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T8_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T9_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T10_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T11_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T12_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T13_75kVA,75.0,53.389815627000196,59.32201736333355,0.790960231511114
T14_50kVA,50.0,35.59321041800013,39.548011575555705,0.790960231511114
