trial,n_total_customers,metered_demand_kw,total_transformer_kva,allocation_factor_kw_per_kva,utilization_factor,utilization_factor_check,n_75kva,n_50kva,n_25kva
0,300,827.3037574401727,1350.0,0.6128175981038316,0.6809084423375907,0.6809084423375907,17,1,1
1,300,782.3842628036448,1350.0,0.5795438983730702,0.6439376648589669,0.643937664858967,17,1,1
2,300,817.2565453533887,1350.0,0.6053752187802879,0.6726391319780977,0.6726391319780977,17,1,1
3,300,725.3923483429041,1350.0,0.5373276654391883,0.5970307393768759,0.5970307393768759,17,1,1
4,300,739.4985770318426,1350.0,0.5477767237272908,0.6086408041414342,0.6086408041414342,17,1,1
5,300,739.3561802674654,1350.0,0.547671244642567,0.6085236051584078,0.6085236051584078,17,1,1
6,300,801.0370445614471,1350.0,0.5933607737492201,0.6592897486102446,0.6592897486102446,17,1,1
7,300,831.7118655153688,1350.0,0.6160828633447176,0.684536514827464,0.684536514827464,17,1,1
8,300,795.3744783163669,1350.0,0.5891662802343458,0.6546292002603842,0.6546292002603843,17,1,1
9,300,843.8636345871363,1350.0,0.6250841737682491,0.6945379708536101,0.6945379708536101,17,1,1
10,300,761.2280656675091,1350.0,0.5638726412351919,0.6265251569279909,0.626525156927991,17,1,1
11,300,786.7864891339085,1350.0,0.5828048067658581,0.647560896406509,0.647560896406509,17,1,1
12,300,808.2928816496283,1350.0,0.5987354678886135,0.6652616309873484,0.6652616309873484,17,1,1
13,300,750.387232292625,1350.0,0.5558423942908333,0.617602660323148,0.6176026603231481,17,1,1
14,300,728.9730757281992,1350.0,0.5399800560949624,0.5999778401055137,0.5999778401055137,17,1,1
15,300,767.6436655174621,1350.0,0.5686249374203423,0.6318054860226024,0.6318054860226026,17,1,1
16,300,815.2014298575034,1350.0,0.603852911005558,0.6709476788950645,0.6709476788950645,17,1,1
17,300,804.3009539693172,1350.0,0.5957784844217164,0.6619760938019071,0.6619760938019071,17,1,1
18,300,773.5624763827619,1350.0,0.5730092417650088,0.6366769352944542,0.6366769352944542,17,1,1
19,300,770.3536927461881,1350.0,0.5706323649971764,0.6340359611079738,0.6340359611079738,17,1,1
